fpr,tpr
0.0,0.0
0.0,0.014925373134328358
0.0,0.07462686567164178
0.0026246719160104987,0.07462686567164178
0.0026246719160104987,0.13432835820895522
0.005249343832020997,0.13432835820895522
0.005249343832020997,0.26865671641791045
0.007874015748031496,0.26865671641791045
0.007874015748031496,0.29850746268656714
0.013123359580052493,0.29850746268656714
0.013123359580052493,0.3283582089552239
0.02099737532808399,0.3283582089552239
0.02099737532808399,0.34328358208955223
0.023622047244094488,0.34328358208955223
0.023622047244094488,0.3880597014925373
0.026246719160104987,0.3880597014925373
0.026246719160104987,0.417910447761194
0.03412073490813648,0.417910447761194
0.03412073490813648,0.44776119402985076
0.03674540682414698,0.44776119402985076
0.03937007874015748,0.4626865671641791
0.03937007874015748,0.4925373134328358
0.04461942257217848,0.4925373134328358
0.04461942257217848,0.5223880597014925
0.047244094488188976,0.5223880597014925
0.047244094488188976,0.5970149253731343
0.049868766404199474,0.5970149253731343
0.049868766404199474,0.6417910447761194
0.06036745406824147,0.6417910447761194
0.06036745406824147,0.6567164179104478
0.08661417322834646,0.6567164179104478
0.08661417322834646,0.6716417910447762
0.09973753280839895,0.6716417910447762
0.09973753280839895,0.7014925373134329
0.10236220472440945,0.7014925373134329
0.10236220472440945,0.7313432835820896
0.10761154855643044,0.7313432835820896
0.10761154855643044,0.746268656716418
0.13123359580052493,0.746268656716418
0.13648293963254593,0.746268656716418
0.14698162729658792,0.746268656716418
0.14698162729658792,0.7611940298507462
0.1679790026246719,0.7611940298507462
0.1679790026246719,0.7761194029850746
0.17585301837270342,0.7761194029850746
0.17585301837270342,0.8059701492537313
0.1784776902887139,0.8059701492537313
0.1784776902887139,0.8208955223880597
0.1889763779527559,0.8208955223880597
0.1942257217847769,0.8208955223880597
0.1942257217847769,0.8507462686567164
0.2178477690288714,0.8507462686567164
0.2178477690288714,0.8656716417910447
0.2204724409448819,0.8656716417910447
0.2204724409448819,0.8955223880597015
0.22572178477690288,0.8955223880597015
0.22572178477690288,0.9253731343283582
0.27034120734908135,0.9253731343283582
0.2755905511811024,0.9253731343283582
0.29396325459317585,0.9253731343283582
0.29658792650918636,0.9402985074626866
0.30708661417322836,0.9402985074626866
0.30708661417322836,0.9552238805970149
0.31496062992125984,0.9552238805970149
0.31496062992125984,0.9701492537313433
0.3543307086614173,0.9701492537313433
0.3543307086614173,0.9850746268656716
0.35958005249343833,0.9850746268656716
0.3648293963254593,0.9850746268656716
0.3753280839895013,0.9850746268656716
0.3805774278215223,0.9850746268656716
0.46981627296587924,0.9850746268656716
0.47506561679790027,0.9850746268656716
0.5800524934383202,0.9850746268656716
0.5853018372703412,0.9850746268656716
0.6587926509186351,0.9850746268656716
0.6640419947506562,0.9850746268656716
0.7191601049868767,0.9850746268656716
0.7217847769028871,1.0
0.863517060367454,1.0
0.868766404199475,1.0
0.905511811023622,1.0
0.910761154855643,1.0
0.9711286089238845,1.0
0.9763779527559056,1.0
1.0,1.0
